公司名稱,職缺名稱,徵才網址,薪水區間
翰霖科技資訊股份有限公司,Oracle資料庫設計工程師,http://www.104.com.tw/job/6x63z?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
中佑資訊有限公司,資料庫管理工程師,http://www.104.com.tw/job/53qsm?jobsource=jolist_c_relevance,"月薪 35,000~60,000元"
卡爾世達股份有限公司,維修資料編撰工程師,http://www.104.com.tw/job/3720v?jobsource=jolist_c_relevance,"月薪 25,000~40,000元"
動力安全資訊股份有限公司,資料庫管理DBA 工程師,http://www.104.com.tw/job/6ne1i?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
國泰金控_國泰金融控股股份有限公司,"[2020 DataCon活動]資料科學工程師（微服務產品開發）- 資料科學實驗室  (數數發中心, DDT)",http://www.104.com.tw/job/71s8z?jobsource=jolist_c_relevance,"月薪 30,000~90,000元"
聚和國際股份有限公司,資料分析工程師/資料科學家 &lt;近鳳山/林園/小港/屏東&gt;,http://www.104.com.tw/job/6wu9a?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
凱信資訊股份有限公司,資訊安全工程師 (資料安全保護),http://www.104.com.tw/job/6i77r?jobsource=jolist_c_relevance,"月薪 28,000~60,000元"
奇美拉股份有限公司,資料庫工程師,http://www.104.com.tw/job/70ccu?jobsource=jolist_c_relevance,"月薪 30,000~50,000元"
德義資訊股份有限公司,系統及資料庫工程師,http://www.104.com.tw/job/3cutt?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
沅聖科技股份有限公司,資料庫程式設計工程師,http://www.104.com.tw/job/6t4gr?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
兆威數位媒體有限公司,資料庫開發工程師(DBA),http://www.104.com.tw/job/6so3i?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
瑞昱半導體股份有限公司,資料分析工程師,http://www.104.com.tw/job/6sfqm?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
順立智慧股份有限公司,資料分析工程主管,http://www.104.com.tw/job/5imtm?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
博晶醫電股份有限公司,資料科學演算法工程師 (Data Science Algorithm Engineer),http://www.104.com.tw/job/6zh4b?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
新加坡商耐思人工智能有限公司台灣分公司,【DBA】MySQL DBA / 資料庫管理工程師,http://www.104.com.tw/job/6wwxa?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
恆富國際有限公司,【資料庫】DBA資深工程師,http://www.104.com.tw/job/6rjfj?jobsource=jolist_c_relevance,待遇面議 (經常性薪資達4萬元或以上) 
創視科技有限公司,數據工程師 /資料處理工程師,http://www.104.com.tw/job/6zi2j?jobsource=jolist_c_relevance,"月薪 35,000~60,000元"
瑞嘉軟體科技股份有限公司,【DBA】SQL Server DBA / 資料庫管理工程師,http://www.104.com.tw/job/6xt4l?jobsource=jolist_c_relevance,"月薪 55,000~142,000元"
全一電子股份有限公司,資料中心助理工程師,http://www.104.com.tw/job/6jwlt?jobsource=jolist_c_relevance,"月薪 24,000~26,000元"
瑞嘉軟體科技股份有限公司,【DBA】SQL Server Database Developer / 資料庫開發工程師,http://www.104.com.tw/job/49ko5?jobsource=jolist_c_relevance,"月薪 55,000~142,000元"
歐立威科技股份有限公司,資料平台工程師(或新鮮人),http://www.104.com.tw/job/4v0q8?jobsource=jolist_c_relevance,"月薪 28,000~40,000元"
風采有限公司,DBA,http://www.104.com.tw/job/70iwn?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
慧邦科技股份有限公司,遊戲數據工程師,http://www.104.com.tw/job/6u7bu?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
磐弈有限公司,Web 資深前端工程師,http://www.104.com.tw/job/6yhxx?jobsource=2018indexpoc,"月薪 40,000~80,000元"
美商先進資訊有限公司 Advanced Control Systems Inc.,專案工程師 (Project Engineer),http://www.104.com.tw/job/6c3ws?jobsource=2018indexpoc,"月薪 50,000~65,000元"
香港商福維克樂智有限公司台灣分公司,資訊系統分析師,http://www.104.com.tw/job/6u1ov?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
蓋亞汽車股份有限公司,DBA Engineer 資料庫管理工程師,http://www.104.com.tw/job/70sl0?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台灣樂天市場股份有限公司,【日商樂天】Data Engineer(DEV),http://www.104.com.tw/job/6yur3?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
中華麟股份有限公司,PHP工程師,http://www.104.com.tw/job/6fgd0?jobsource=2018indexpoc,"月薪 40,000~60,000元"
昱勝資訊股份有限公司,測試專員,http://www.104.com.tw/job/71nyz?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
艾絲資訊股份有限公司,艾絲資訊 PHP 系統開發工程師,http://www.104.com.tw/job/4ua1d?jobsource=2018indexpoc,"月薪 40,000~60,000元"
永豐商業銀行股份有限公司,數據應用部-數據分析應用人員,http://www.104.com.tw/job/6wnct?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
台灣樂天市場股份有限公司,【日商樂天】Data Analyst(DEV),http://www.104.com.tw/job/6z1jb?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
萬蕙昇股份有限公司,程式設計工程師,http://www.104.com.tw/job/5m21k?jobsource=2018indexpoc,待遇面議 (經常性薪資達4萬元或以上) 
